Year,Industry,GVIAP,gviap_billion
2006,Almonds,138414957.6998168,0.138
2006,Cotton,1085265728.2331285,1.085
2006,Dairy,1281265952.5414855,1.281
2006,Fruit,1276659258.604403,1.277
2006,Grapevines,1172895204.2204664,1.173
2006,Other broadacre,41239730.48950335,0.041
2006,Other cereals,246583890.7013793,0.247
2006,Pastures - Grazing,924676480.2735504,0.925
2006,Pastures - Hay,212651685.21806723,0.213
2006,Rice,367377258.71715975,0.367
2006,Vegetables,918207228.2781409,0.918
2007,Almonds,171761012.54038733,0.172
2007,Cotton,605414976.0001535,0.605
2007,Dairy,999461842.9692755,0.999
2007,Fruit,1360895611.3106477,1.361
2007,Grapevines,965042289.4425012,0.965
2007,Other broadacre,12923025.828170203,0.013
2007,Other cereals,247611585.21705362,0.248
2007,Pastures - Grazing,666883743.3360236,0.667
2007,Pastures - Hay,231205181.47425467,0.231
2007,Rice,72112986.85444465,0.072
2007,Vegetables,973934875.0695696,0.974
2008,Almonds,95396280.02435686,0.095
2008,Cotton,271787119.8408307,0.272
2008,Dairy,1235416570.8069806,1.235
2008,Fruit,1096903115.8854945,1.097
2008,Grapevines,1596805976.3489478,1.597
2008,Other broadacre,7926677.562211414,0.008
2008,Other cereals,378542491.7102771,0.379
2008,Pastures - Grazing,280899565.9188469,0.281
2008,Pastures - Hay,173970738.4034255,0.174
2008,Rice,10193245.273079772,0.01
2008,Vegetables,1146123730.4171574,1.146
2009,Almonds,107986457.60319622,0.108
2009,Cotton,704468913.470744,0.704
2009,Dairy,945664022.7949513,0.946
2009,Fruit,1156755945.5910285,1.157
2009,Grapevines,980951123.4340091,0.981
2009,Other broadacre,32519380.851722173,0.033
2009,Other cereals,246329288.01818928,0.246
2009,Pastures - Grazing,275342845.4020342,0.275
2009,Pastures - Hay,105523926.15333298,0.106
2009,Rice,43015015.13735687,0.043
2009,Vegetables,760718112.9772187,0.761
2010,Almonds,130457838.52497295,0.13
2010,Cotton,753760740.6062177,0.754
2010,Dairy,771110214.5322807,0.771
2010,Fruit,1124011200.332422,1.124
2010,Grapevines,780206122.4677185,0.78
2010,Other broadacre,22242773.091707565,0.022
2010,Other cereals,149910487.62240952,0.15
2010,Pastures - Grazing,402639279.1391932,0.403
2010,Pastures - Hay,115907414.41793947,0.116
2010,Rice,116307012.04099607,0.116
2010,Vegetables,886007006.7969221,0.886
2011,Almonds,203827804.0640818,0.204
2011,Cotton,1806762281.074737,1.807
2011,Dairy,1018887328.2556283,1.019
2011,Fruit,1335673761.5140724,1.336
2011,Grapevines,771093666.9788187,0.771
2011,Other broadacre,33370657.994955804,0.033
2011,Other cereals,168873264.4556222,0.169
2011,Pastures - Grazing,612854680.6270578,0.613
2011,Pastures - Hay,75212223.64754865,0.075
2011,Rice,214201919.19970357,0.214
2011,Vegetables,1018376468.9054425,1.018
2012,Almonds,150727136.2875355,0.151
2012,Cotton,2144641507.7125237,2.145
2012,Dairy,1024532628.1973403,1.025
2012,Fruit,1229807074.7912393,1.23
2012,Grapevines,744385049.3071386,0.744
2012,Other broadacre,32782225.012550607,0.033
2012,Other cereals,212464572.3147484,0.212
2012,Pastures - Grazing,596041125.8754591,0.596
2012,Pastures - Hay,103796475.0410204,0.104
2012,Rice,285115094.34777266,0.285
2012,Vegetables,981496581.1221466,0.981
2013,Almonds,352196061.9227106,0.352
2013,Cotton,1936602512.7821336,1.937
2013,Dairy,995544533.5336201,0.996
2013,Fruit,1295060053.5706735,1.295
2013,Grapevines,891365169.0449456,0.891
2013,Other broadacre,71475391.62218244,0.071
2013,Other cereals,355349919.5528077,0.355
2013,Pastures - Grazing,467135779.22803,0.467
2013,Pastures - Hay,102605592.73626289,0.103
2013,Rice,340996257.93704164,0.341
2013,Vegetables,918427359.7443279,0.918
2014,Almonds,381659143.56587416,0.382
2014,Cotton,2031190463.8170958,2.031
2014,Dairy,1198416592.524755,1.198
2014,Fruit,1112169784.0567336,1.112
2014,Grapevines,691079677.5124941,0.691
2014,Other broadacre,48591295.692777775,0.049
2014,Other cereals,387734818.08194953,0.388
2014,Pastures - Grazing,730645456.3282238,0.731
2014,Pastures - Hay,153141385.9050563,0.153
2014,Rice,303938527.279244,0.304
2014,Vegetables,722283924.0101869,0.722
2015,Almonds,545932821.8265902,0.546
2015,Cotton,895543065.6450025,0.896
2015,Dairy,1326212326.3415573,1.326
2015,Fruit,1035497193.1732167,1.035
2015,Grapevines,788922279.0935115,0.789
2015,Other broadacre,54719199.05464877,0.055
2015,Other cereals,399020035.4828531,0.399
2015,Pastures - Grazing,1067927380.076804,1.068
2015,Pastures - Hay,186681962.2021364,0.187
2015,Rice,294032758.10894454,0.294
2015,Vegetables,921572905.722317,0.922
2016,Almonds,743393342.8225166,0.743
2016,Cotton,1140285674.068415,1.14
2016,Dairy,962851533.8278943,0.963
2016,Fruit,1124593845.2961051,1.125
2016,Grapevines,889993288.5016713,0.89
2016,Other broadacre,62155554.75611729,0.062
2016,Other cereals,299971658.0898359,0.3
2016,Pastures - Grazing,683647056.1529387,0.684
2016,Pastures - Hay,142486586.71479133,0.142
2016,Rice,116974541.5811823,0.117
2016,Vegetables,950204182.7498276,0.95
2017,Almonds,514188270.60955733,0.514
2017,Cotton,1508122823.3462243,1.508
2017,Dairy,769028069.476618,0.769
2017,Fruit,1173840712.4720204,1.174
2017,Grapevines,944372321.3174232,0.944
2017,Other broadacre,82436078.54375552,0.082
2017,Other cereals,249997086.7663112,0.25
2017,Pastures - Grazing,597653391.3832836,0.598
2017,Pastures - Hay,131333089.03720608,0.131
2017,Rice,264820099.0083863,0.265
2017,Vegetables,1186823728.7363453,1.187
2018,Almonds,459821026.9906151,0.46
2018,Cotton,2135664669.3134658,2.136
2018,Dairy,1037460157.8220515,1.037
2018,Fruit,1431131228.365894,1.431
2018,Grapevines,925153500.9345318,0.925
2018,Other broadacre,66754140.12271764,0.067
2018,Other cereals,331022128.48786026,0.331
2018,Pastures - Grazing,785848323.4666581,0.786
2018,Pastures - Hay,98244450.89405619,0.098
2018,Rice,250406409.48438245,0.25
2018,Vegetables,1096391783.9371924,1.096
2019,Almonds,581470870.9712509,0.581
2019,Cotton,984080065.928484,0.984
2019,Dairy,850957326.829852,0.851
2019,Fruit,1578305319.9274385,1.578
2019,Grapevines,1102790404.9631727,1.103
2019,Other broadacre,31445256.48187828,0.031
2019,Other cereals,304266688.69294435,0.304
2019,Pastures - Grazing,703979908.6223916,0.704
2019,Pastures - Hay,149255617.33842605,0.149
2019,Rice,31141583.628912184,0.031
2019,Vegetables,927460687.278654,0.927
2020,Almonds,695656212.6719614,0.696
2020,Cotton,192798125.4772083,0.193
2020,Dairy,822259484.6587394,0.822
2020,Fruit,1263335677.8164463,1.263
2020,Grapevines,1244148612.8659434,1.244
2020,Other broadacre,18703026.48406982,0.019
2020,Other cereals,147142231.57993558,0.147
2020,Pastures - Grazing,663575805.43965,0.664
2020,Pastures - Hay,150619543.3360122,0.151
2020,Rice,34009875.55786653,0.034
2020,Vegetables,744127328.9709148,0.744
