year,rainfall_mm
1960,577.1
1961,685.2
1962,616.6
1963,599.4
1964,578.0
1965,352.2
1966,524.2
1967,365.0
1968,546.7
1969,833.1
1970,653.0
1971,687.7
1972,505.0
1973,1064.4
1974,620.7
1975,619.4
1976,758.4
1977,407.8
1978,868.4
1979,468.4
1980,379.2
1981,507.9
1982,357.4
1983,703.0
1984,664.8
1985,570.4
1986,387.40000000000003
1987,618.6
1988,662.4
1989,624.6
1990,827.0
1991,528.0
1992,796.8
1993,680.4
1994,353.8
1995,598.2
1996,698.6
1997,385.4
1998,825.0
1999,713.0
2000,876.6
2001,578.8
2002,316.4
2003,663.2
2004,566.5
2005,577.4
2006,303.8
2007,625.5
2008,584.5
2009,552.0
2010,1047.6
2011,588.8
2012,604.6
2013,536.2
2014,538.4
2015,546.8
2016,914.8
2017,431.8
2018,348.6
2019,261.2
2020,835.0
2021,880.4
2022,986.0
2023,212.9
2024,403.2
