year,streamflow_GL,anomaly_GL
1964,80.3924,37.6244
1965,19.7936,-22.9744
1966,57.0632,14.2952
1967,11.6992,-31.0688
1968,36.3636,-6.4044
1969,51.6015,8.83354
1970,70.5317,27.7637
1971,47.9669,5.19886
1972,23.2551,-19.5129
1973,49.6197,6.85169
1974,109.432,66.664
1975,72.9961,30.2281
1976,40.8214,-1.94659
1977,32.4473,-10.3207
1978,80.7854,38.0174
1979,18.621,-24.147
1980,18.1491,-24.6189
1981,43.2267,0.458697
1982,5.23852,-37.5295
1983,81.2473,38.4793
1984,55.2464,12.4784
1985,31.4116,-11.3564
1986,40.2791,-2.48893
1987,23.6859,-19.0821
1988,63.3743,20.6063
1989,78.8536,36.0856
1990,57.4767,14.7087
1991,54.8782,12.1102
1992,72.084,29.316
1993,47.5546,4.78665
1994,25.2298,-17.5382
1995,53.4315,10.6635
1996,47.9123,5.14434
1997,18.6331,-24.1349
1998,37.728,-5.03997
1999,27.422,-15.346
2000,36.8974,-5.87062
2001,30.0036,-12.7644
2002,18.9226,-23.8454
2003,36.332,-6.43602
2004,26.1585,-16.6095
2005,35.1643,-7.60372
2006,7.27644,-35.4916
2007,17.1504,-25.6176
2008,18.2741,-24.4939
2009,19.2094,-23.5586
2010,77.8497,35.0817
2011,42.8189,0.0508892
2012,63.2445,20.4765
2013,25.6051,-17.1629
2014,25.5125,-17.2555
2015,24.8689,-17.8991
2016,56.4932,13.7252
2017,19.4676,-23.3004
2018,8.96668,-33.8013
2019,8.2093,-34.5587
2020,56.681,13.913
2021,91.9008,49.1328
2022,97.3918,54.6238
2023,35.2287,-7.53929
